OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_ACC    ANTICIPATION_OMEGA    ANTICIPATION_R    AGG_ACC    AGG_OMEGA    AGG_R    DCPA    CROSSING_DIST    ANT_TIME    AGG_TIME    N_CROSS
60    79.4232804775238    -0.007521775384423719    0.9925064423745039    -0.007521775384423719    2.6741936277179557    0.15619857940367374    0.0133691225546438    -0.007521775384423719    -0.007521775384423719    -0.007521775384423719    41.21517196331206    -1.0    1.023877518128488    1.0152805484796228    0.0
65    76.10441422462463    1.7776076418280775    5.915687034009361    2.4696585577965675    2.2076015394201964    0.08003552216416565    0.006905821015591187    5.701857008412846    1.9198793976447988    1.7898834820384892    6.902697691600359    -1.0    1.0439865117176963    0.16904207309328353    0.0
61    77.26965808868408    8.33509626921333    4167.602749263695    8.33509626921333    2.5196357919232493    0.13610240840151597    0.011623201240106433    29.336503158249183    9.469522945711756    8.431976770506058    0.0    -1.0    9667255.883855544    0.0002399460937529791    0.0
63    76.90207433700562    4.562234990213282    95.79734687839256    5.255378194169797    2.319133079289781    0.09921230304598419    0.008621754301926458    15.142665071510194    5.014864830629315    4.601569459366553    0.4133663583289362    -1.0    9261944.153298145    0.01043870245456196    0.0
62    79.56388211250305    0.13606198413981535    1.145752909902458    0.13606198413981535    2.6153303683829883    0.1507697073772532    0.012926221280486263    0.4919090232431189    0.15657600967374377    0.13782075145466863    35.400592204518276    -1.0    0.8054491577377391    0.8727885317656611    0.0
64    79.84167003631592    0.1318478285383914    1.1409346883576081    0.8199893157744708    2.3575698341338676    0.13251874476401715    0.011887903867511254    0.4426882917965574    0.14932013727616036    0.13341522284919588    33.124059170686905    -1.0    1.112259706311098    0.8764743593163201    0.0
66    79.81592392921448    -0.030960056657496217    0.9695142979442856    0.6565975962202915    2.4650341439612697    0.1430879452448572    0.012901551800520489    -0.030960056657496217    -0.030960056657496217    -0.030960056657496217    39.25058513392649    -1.0    0.8212488355682488    1.0572679015546    0.0
71    73.54214429855347    0.008649406702932157    1.0086869209016052    0.008649406702932157    2.6038122906695302    0.006158460841446478    0.00040428489359979494    0.031170838183026323    0.00870267373541391    0.008652903527400753    55.59044113358955    -1.0    1.3389300431272517    0.9913878918011146    0.0
67    75.67731285095215    1.080587668396033    2.946410554752392    1.7737290174021623    2.1076762328449807    0.06292563489030914    0.005343319470332655    3.3581166145797248    1.148584333484492    1.0863615935239748    14.825898379534365    -1.0    1.0606457854216584    0.33939601471595904    0.0
70    74.74698376655579    -0.45669987683278934    0.6333704006712042    0.2362827925263247    2.1189169804580796    0.00638406322027387    0.000503690990954995    -0.45669987683278934    -0.45669987683278934    -0.45669987683278934    70.77195762496657    -1.0    1.319783952313694    2.3428184519908646    0.0
