OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_ACC    ANTICIPATION_OMEGA    ANTICIPATION_R    AGG_ACC    AGG_OMEGA    AGG_R    DCPA    CROSSING_DIST    ANT_TIME    AGG_TIME
19    54.469014406204224    3.213464121099778    24.865072828027593    3.213464121099778    0.9259274749964569    0.014597751135674837    0.0027708108715589147    6.188898840741404    3.2603734706230125    3.2223680224218856    1.47141005263326    21.0    1.3297331729576631    0.04021705493952195
20    54.70919418334961    3.22296075656939    25.102332160173784    3.22296075656939    0.9164935611424193    0.010404393901745865    0.0020429911339978    6.1767835377799365    3.2564937098106066    3.229545236820284    1.4727405327069327    24.0    1.3074847988569531    0.03983693601133023
21    55.237852573394775    2.186186397108152    8.901202652543114    2.186186397108152    0.8812624838112272    0.006037444247148815    0.001206539169738779    4.112790451497999    2.1993853755945674    2.188824116628613    4.178538805599096    36.0    1.3540307750399843    0.11234436952340315
22    53.065027713775635    2.613345197734444    13.644618539901327    2.613345197734444    1.0458443267625845    0.014575188698762878    0.002638466021637444    5.346497446657257    2.6514351971264296    2.6202404202414757    1.2768100389377466    1.0    1.9755900228821526    0.07328896715402289
23    53.655906200408936    2.9336473545549957    18.796061525318656    2.9336473545549957    0.9974973301900614    0.016070086889780413    0.0029442337196456682    5.85995275844274    2.980791322446669    2.9422846980178257    1.2283211388224125    2.0    2.0547029073372878    0.05320263495908336
24    58.13020658493042    2.7630229291202917    15.847677016677872    2.7630229291202917    1.1684459994078085    0.12690969688544038    0.02430558252430631    5.991466016922941    3.1136773315424695    2.8301798109405754    1.3917768837675446    2.0    1.675664138539077    0.06310073072208716
25    56.92484474182129    2.881992346232201    17.849800759528936    2.881992346232201    0.8899671190608159    0.011125856857235474    0.0022161275877994394    5.446870771763795    2.9140569805400287    2.888379208978513    1.6494826038925083    17.0    2.124454558296671    0.05602303428883709
26    57.453279972076416    2.7872869215974876    16.236907985060114    2.7872869215974876    0.8001699417363259    0.01198181374307467    0.0025696170120954533    5.017590135254572    2.8206836743405765    2.7944491814888157    1.8850934791056275    329.0    2.239807466983329    0.06158808074296651
27    60.729881048202515    2.874844753109528    17.722672518078948    2.874844753109528    0.7453822163013704    0.014793817558525503    0.0035397184504091586    5.017702906704674    2.917374681896115    2.885020894124172    1.6243207249164904    -1.0    2.4890055566009663    0.05642489861390246
28    61.390376806259155    2.9206215925285983    18.552816168210764    2.9206215925285983    0.7575937460778616    0.011014996088530408    0.0026609497649373775    5.133266245688229    2.9527922279463783    2.9283932198687084    1.3801172088986071    -1.0    2.65202325291867    0.05390017294050729
29    61.758177518844604    2.8908078658410075    18.007851654967283    2.8908078658410075    0.8891290596860197    0.007427718458948553    0.0017941099144545005    5.461109145329171    2.9122799727873883    2.8959942928938958    1.153798075040875    -1.0    2.811273182702611    0.055531332618689144
30    61.872010707855225    2.798582998742925    16.421361187696974    2.798582998742925    nan    nan    nan    nan    nan    nan    0.8998208284629108    -1.0    3.2641180897599744    0.060896291639283145
31    62.553622007369995    2.7501189681373965    15.644492969670154    2.7501189681373965    nan    nan    nan    nan    nan    nan    0.4956766323370765    -1.0    nan    nan
32    62.56398129463196    6.2135491174454645    499.47078977287447    6.2135491174454645    nan    nan    nan    nan    nan    nan    0.0    -1.0    nan    nan
33    53.558106660842896    1.8778487381953424    6.539421711198205    1.8778487381953424    nan    nan    nan    nan    nan    nan    1.686381294313147    4.0    nan    nan
